,trip_id
295,138781
296,138518
297,139344
298,140039
299,138891
300,138393
301,139682
302,139140
303,138789
304,138904
305,138671
306,138762
307,138339
308,139317
309,139719
310,139251
311,139274
312,138921
313,140137
314,138740
315,138627
316,139453
317,140006
318,138775
319,138892
320,140103
321,138399
322,139157
323,138790
324,138905
325,138763
326,140018
327,139731
328,139657
329,139293
330,138356
331,139345
332,139437
333,138922
334,138645
335,138624
336,140040
337,140007
338,138776
339,138893
340,138394
341,139993
342,138791
343,138725
344,139318
345,139268
346,138545
347,139146
348,138906
349,139170
350,139723
351,139658
352,138357
353,139259
354,138764
355,138923
356,140129
357,140108
358,138528
359,138777
360,138401
361,139656
362,138894
363,138546
364,139294
365,139452
366,138792
367,139346
368,138907
369,139747
370,140019
371,139992
372,138340
373,138765
374,138741
375,138924
376,138628
377,140041
378,138519
379,138778
380,139262
381,138402
382,139175
383,139319
384,138895
385,140117
386,138656
387,139135
388,138793
389,138908
390,139667
391,139436
392,140138
393,139721
394,138358
395,139129
396,138766
397,140008
398,138925
399,139295
400,139347
401,138779
402,138395
403,138896
404,138726
405,138547
406,140118
407,138794
408,139659
409,140020
410,139247
411,138359
412,138909
413,138767
414,139320
415,139269
416,139722
417,139451
418,139147
419,140042
420,140009
421,138629
422,138926
423,138520
424,139165
425,138403
426,139994
427,138646
428,140147
429,138780
430,140114
431,138897
432,138820
433,138360
434,138910
435,138795
436,139296
437,138742
438,139348
439,139720
440,138636
441,138951
442,138404
443,139158
444,139435
445,140148
446,139683
447,138817
448,138927
449,138821
450,140021
451,139255
452,139275
453,138361
454,139321
455,138949
456,138796
457,139995
458,139732
459,140043
460,138731
461,138952
462,138405
463,138548
464,138669
465,138818
466,139672
467,138362
468,138928
469,140144
470,139450
471,139176
472,138617
473,138822
474,138532
475,139349
476,139141
477,139297
478,138950
479,138797
480,140109
481,139724
482,138953
483,138406
484,138561
485,138819
486,138929
487,139322
488,139281
489,138823
490,140022
491,139688
492,139434
493,138630
494,138954
495,138798
496,139136
497,138743
498,138363
499,140044
500,138973
501,138660
502,138407
503,140124
504,140002
505,138824
506,138930
507,139298
508,139350
509,139171
510,139276
511,138843
512,138521
513,139669
514,140139
515,138955
516,138799
517,139449
518,139323
519,138974
520,139252
521,138555
522,138825
523,138931
524,138408
525,138727
526,138844
527,139166
528,138631
529,138365
530,140023
531,138956
532,138800
533,138564
534,139738
535,140153
536,140045
537,138975
538,139433
539,140119
540,139130
541,138647
542,139299
543,139351
544,139660
545,138826
546,138932
547,138732
548,138845
549,138366
550,139753
551,138957
552,138801
553,139324
554,138648
555,139263
556,138744
557,138976
558,138549
559,139260
560,138410
561,138827
562,139142
563,139686
564,138933
565,140115
566,139448
567,139988
568,138533
569,138846
570,140024
571,138640
572,138367
573,138958
574,140001
575,138802
576,139159
577,140149
578,139300
579,139735
580,139352
581,140046
582,138977
583,138411
584,138828
585,138934
586,140110
587,139684
588,138748
589,138728
590,138847
591,138368
592,139432
593,139325
594,139277
595,138534
596,138959
597,139673
598,138803
599,139743
600,138661
601,138978
602,138559
603,140145
604,138412
605,138369
606,138829
607,138935
608,139148
609,138848
610,139353
611,140025
612,139172
613,139301
614,138960
615,140125
616,138804
617,139689
618,139447
619,138620
620,139725
621,138733
622,138745
623,140047
624,138979
625,138413
626,138662
627,140140
628,139662
629,138830
630,138936
631,139326
632,139282
633,138621
634,138849
635,139996
636,138370
637,139137
638,138961
639,139999
640,138805
641,138522
642,139751
643,138980
644,139177
645,138414
646,139431
647,138371
648,138831
649,138937
650,139354
651,139670
652,140120
653,138749
654,139302
655,138729
656,138850
657,139248
658,139749
659,140026
660,139131
661,138962
662,139668
663,138806
664,138641
665,140154
666,140048
667,138981
668,139278
669,139327
670,138415
671,138832
672,138938
673,138649
674,139167
675,139446
676,139739
677,138622
678,138851
679,138535
680,138565
681,138372
682,138963
683,138807
684,138746
685,139679
686,138734
687,138642
688,138982
689,139303
690,140116
691,139355
692,138416
693,139754
694,140150
695,138833
696,139697
697,138939
698,139149
699,138650
700,138560
701,139160
702,138852
703,140027
704,139661
705,139256
706,139430
707,138964
708,138808
709,139283
710,138566
711,139328
712,139727
713,140049
714,138983
715,138373
716,138417
717,139997
718,138663
719,138834
720,138940
721,138730
722,139687
723,138750
724,138853
725,139143
726,139736
727,138965
728,139685
729,138809
730,139445
731,138523
732,140146
733,139304
734,139356
735,138984
